Measure: CPI_YTYPCT
Time Period,Measure,Value
2020-Q3,CPI_YTYPCT,1.23095065784356
2020-Q4,CPI_YTYPCT,1.22598440666677
2021-Q1,CPI_YTYPCT,1.89475230000634
2021-Q2,CPI_YTYPCT,4.79727638502021
2021-Q3,CPI_YTYPCT,5.26471439133384
2021-Q4,CPI_YTYPCT,6.75375950170401
2022-Q1,CPI_YTYPCT,8.02352938201929
2022-Q2,CPI_YTYPCT,8.59334283033968
2022-Q3,CPI_YTYPCT,8.28868774964242
2022-Q4,CPI_YTYPCT,7.09080057078565
2023-Q1,CPI_YTYPCT,5.74982620968515
2023-Q2,CPI_YTYPCT,4.03156599273923
2023-Q3,CPI_YTYPCT,3.56176405230761
2023-Q4,CPI_YTYPCT,3.23615052891566
2024-Q1,CPI_YTYPCT,3.19791773008318
2024-Q2,CPI_YTYPCT,3.18784423628299
2024-Q3,CPI_YTYPCT,2.93056842502782
2024-Q4,CPI_YTYPCT,2.81111362762662
2025-Q1,CPI_YTYPCT,2.44947029086624
2025-Q2,CPI_YTYPCT,2.22493582724786
2025-Q3,CPI_YTYPCT,2.12496022029746
2025-Q4,CPI_YTYPCT,2.0624793343873

Measure: GDPV_ANNPCT
Time Period,Measure,Value
1990-Q1,GDPV_ANNPCT,4.44371520633603
1990-Q2,GDPV_ANNPCT,1.45980410090697
1990-Q3,GDPV_ANNPCT,0.266592822598782
1990-Q4,GDPV_ANNPCT,-3.59218918405632
1991-Q1,GDPV_ANNPCT,-1.85866541133723
1991-Q2,GDPV_ANNPCT,3.15542109240516
1991-Q3,GDPV_ANNPCT,2.03680968030615
1991-Q4,GDPV_ANNPCT,1.40148534073544
1992-Q1,GDPV_ANNPCT,4.8757021285644
1992-Q2,GDPV_ANNPCT,4.40826723196121
1992-Q3,GDPV_ANNPCT,4.01140930531873
1992-Q4,GDPV_ANNPCT,4.23713011057799
1993-Q1,GDPV_ANNPCT,0.669448963625729
1993-Q2,GDPV_ANNPCT,2.34909819551207
1993-Q3,GDPV_ANNPCT,1.9223234012523
1993-Q4,GDPV_ANNPCT,5.55260751556016
1994-Q1,GDPV_ANNPCT,3.93831457855978
1994-Q2,GDPV_ANNPCT,5.53192062194472
1994-Q3,GDPV_ANNPCT,2.35892259441759
1994-Q4,GDPV_ANNPCT,4.66162355201287
1995-Q1,GDPV_ANNPCT,1.42669206089991
1995-Q2,GDPV_ANNPCT,1.1986418034172
1995-Q3,GDPV_ANNPCT,3.44657284510145
1995-Q4,GDPV_ANNPCT,2.74412282693569
1996-Q1,GDPV_ANNPCT,3.03003348013049
1996-Q2,GDPV_ANNPCT,6.84056251215377
1996-Q3,GDPV_ANNPCT,3.63670451026971
1996-Q4,GDPV_ANNPCT,4.21861979288224
1997-Q1,GDPV_ANNPCT,2.60687633916106
1997-Q2,GDPV_ANNPCT,6.82910306346465
1997-Q3,GDPV_ANNPCT,5.08859236966246
1997-Q4,GDPV_ANNPCT,3.45943527653351
1998-Q1,GDPV_ANNPCT,4.07586928511936
1998-Q2,GDPV_ANNPCT,3.75448342538596
1998-Q3,GDPV_ANNPCT,5.13165756708928
1998-Q4,GDPV_ANNPCT,6.59383062021707
1999-Q1,GDPV_ANNPCT,3.81101955340461
1999-Q2,GDPV_ANNPCT,3.38101246923599
1999-Q3,GDPV_ANNPCT,5.40994633200015
1999-Q4,GDPV_ANNPCT,6.72594943284684
2000-Q1,GDPV_ANNPCT,1.45908989588455
2000-Q2,GDPV_ANNPCT,7.48660416324467
2000-Q3,GDPV_ANNPCT,0.408354184304112
2000-Q4,GDPV_ANNPCT,2.40962774445382
2001-Q1,GDPV_ANNPCT,-1.30476218457999
2001-Q2,GDPV_ANNPCT,2.52150953110521
2001-Q3,GDPV_ANNPCT,-1.59295177254443
2001-Q4,GDPV_ANNPCT,1.10364018833009
2002-Q1,GDPV_ANNPCT,3.38763887490313
2002-Q2,GDPV_ANNPCT,2.47344304475465
2002-Q3,GDPV_ANNPCT,1.63598771066974
2002-Q4,GDPV_ANNPCT,0.495337658367731
2003-Q1,GDPV_ANNPCT,2.12326755305417
2003-Q2,GDPV_ANNPCT,3.58982469785268
2003-Q3,GDPV_ANNPCT,6.82062184591979
2003-Q4,GDPV_ANNPCT,4.72434938168464
