,S,I,R,D,P,N,C
0,0.999,0.001,0.0,0.0,1.0,0.16666666666666666,6.632006666666666
1,0.9983841165,0.001226994611111111,0.00038500000000000003,3.88888888888889e-06,0.9999961111111111,0.1666660185185185,6.631679724186297
2,0.9976288966446838,0.0015050498954397268,0.0008573929252777778,8.660534598765433e-06,0.9999913394654012,0.16666522324423355,6.631279185592545
3,0.9967032334438355,0.001845415914728087,0.0014368371350220726,1.4513506414364371e-05,0.9999854864935857,0.16666424774893093,6.630788808627246
4,0.9955692852601278,0.0022617023538192877,0.002147322262192386,2.1690123860529154e-05,0.9999783098761394,0.16666305164602324,6.630188930388991
5,0.9941811236795782,0.0027703130189946704,0.0030180776684128117,3.0485633014270827e-05,0.9999695143669858,0.16666158572783094,6.629455830029138
6,0.9924831637504595,0.0033909289962821584,0.00408464818072576,4.1259072532583434e-05,0.9999587409274674,0.16665979015457788,6.6285610156837995
7,0.9904083700285079,0.004147028108568521,0.00539015584429439,5.444601862923627e-05,0.9999455539813707,0.16665759233022845,6.627470450785725
8,0.9878762495715598,0.005066415412184422,0.006986761666093271,7.05733501625583e-05,0.9999294266498374,0.16665490444163958,6.626143752330424
9,0.984790672338837,0.006181719984613304,0.008937331599784274,9.027607676549771e-05,0.9999097239232345,0.1666516206538724,6.624533420177869
10,0.9810376051779547,0.007530784929257106,0.011317293793860397,0.00011431609892788278,0.9998856839010721,0.16664761398351202,6.622584195204298
11,0.9764829135276897,0.009156837995922089,0.014216645991624383,0.00014360248476388263,0.9998563975152361,0.166642732919206,6.620232698443142
12,0.9709704813392724,0.011108277630369643,0.017742028620054386,0.00017921241030357965,0.9998207875896964,0.16663679793161607,6.617407576022029
13,0.9643210296730257,0.013437843551472633,0.0220187155077467,0.00022241126775501716,0.999777588732245,0.1666295981220408,6.6140304661456035
14,0.9563321790752937,0.01620086610140972,0.027192285275063663,0.0002746695482329663,0.999725330451767,0.16662088840862782,6.610018209635517
15,0.9467804920681953,0.019452216291293283,0.03342961872410641,0.0003376729164051152,0.9996623270835949,0.1666103878472658,6.60528682937473
16,0.9354264245688932,0.023241533010647915,0.04091872199625432,0.0004133204242045891,0.9995866795757954,0.16659777992929925,6.599757874058651
17,0.9220232558154299,0.027606327815526015,0.04986671220535377,0.0005037041636904421,0.9994962958363096,0.16658271597271826,6.593367700812255
18,0.9063310644050983,0.032562725075375346,0.06049514841433128,0.0006110621051952655,0.9993889378948048,0.16656482298246747,6.5860800727688735
19,0.8881365407855223,0.03809396672119426,0.07303179756835079,0.0007376949249328363,0.9992623050750672,0.1665437175125112,6.577901961147829
20,0.8672787158652149,0.04413747124992612,0.08769797475601059,0.0008858381288485917,0.9991141618711514,0.16651902697852525,6.56890156188707
21,0.8436794106580222,0.0505722043043697,0.10469090118723215,0.0010574838503760822,0.9989425161496239,0.16649041935827066,6.559226232748709
22,0.817375373139977,0.05720927348182671,0.12416119984441448,0.0012541535337819644,0.998745846466218,0.16645764107770303,6.549116478740023
23,0.7885469384386339,0.06378965738468163,0.14618677013491777,0.0014766340417668462,0.9985233659582331,0.16642056099303887,6.538910715392602
24,0.7575362862237166,0.06999322061666716,0.1707457882280202,0.0017247049315961636,0.9982752950684038,0.16637921584473397,6.529035117935634
25,0.7248479739069322,0.07546194713808096,0.19769317816543705,0.0019969007895498693,0.9980030992104502,0.16633384986840838,6.519974374892799
26,0.6911263859612794,0.07983722230781343,0.22674602781359823,0.002290363917309073,0.9977096360826909,0.16628493934711516,6.512223204420152
27,0.6571093888298476,0.08280641076398443,0.2574833584021064,0.0026008420040616806,0.9973991579959384,0.16623319299932307,6.506224576426172
28,0.6235638544943813,0.08414945202456788,0.2893638265462404,0.002922866934810509,0.9970771330651895,0.1661795221775316,6.502306709646497
29,0.5912145233147061,0.08377399630580004,0.321761365575699,0.0032501148037949396,0.9967498851962051,0.1661249808660342,6.500634070035799
30,0.5606802626851255,0.08172948059423617,0.354014354153432,0.003575902567206384,0.9964240974327936,0.1660706829054656,6.5011854020491775
31,0.5324297009362049,0.07819635544539824,0.38548020418221296,0.0038937394361839694,0.996106260563816,0.16601771009396935,6.503764363515751
32,0.5067623016243706,0.073454060972911,0.4155858010286913,0.004197836374027185,0.9958021636259728,0.16596702727099547,6.508038631161558
33,0.48381386036445934,0.06783703407669026,0.44386561450326206,0.004483491055588505,0.9955165089444115,0.1659194181574019,6.513595710789522
