,ns,ni,nr,cs,ci,cr,transfer,T,S,I,R,D,tau,Ur,Ui,Us,mus,lami,P,lams,R1,R2,R3,C,N,Neff,walras,pid,pr_treat,pr_vacc,mortality,ctax,kappa,pir,beta,pidbar,theta,A,eps,pi1,pi2,pi3
0,0.16627685679607382,0.16666666666666666,0.16666666666666666,6.617818900483737,5.306666666666667,6.633333333333333,0.0,0.0005715009764629613,0.999,0.001,0.0,0.0,0.0005720730495124739,1773.9947768166833,1755.717491010787,1768.8214965763693,12.74574935637512,0.1884422110552764,1.0,0.1507960550478024,0.0,0.0,3.81414344552411e-12,6.61650774824992,0.16627724660594442,0.1662439132726111,8.881784197001252e-16,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
1,0.16620926946009265,0.16666666666666666,0.16666666666666666,6.615128924511687,5.306666666666667,6.633333333333333,0.0,0.0006753013838248006,0.998428499023537,0.0011826120875740723,0.00038500000000000003,3.88888888888889e-06,0.0006763642909685023,1773.9947768166833,1755.717491010787,1768.7233631230572,12.648881719284791,0.1884422110552764,0.9999961111111111,0.15080348117516817,0.0,0.0,4.640204886996457e-12,6.613562804425449,0.16620934011210128,0.16616991970918213,-8.881784197001252e-16,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
2,0.16613025060483377,0.16666666666666666,0.16666666666666666,6.611983974072384,5.306666666666667,6.633333333333333,0.0,0.0007975153996720374,0.9977531976397123,0.0013980087706756226,0.0008403056537160179,8.487935896121393e-06,0.0007993112941743932,1773.9947768166833,1755.717491010787,1768.6245185542061,12.551517299370003,0.1884422110552764,0.9999915120641039,0.15081219879362437,0.0,0.0,5.650618861707812e-12,6.610120946919288,0.1661300411697249,0.16608344087736907,0.0,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
3,0.16603795481473269,0.16666666666666666,0.16666666666666666,6.608310601626361,5.306666666666667,6.633333333333333,0.0,0.0009412370319197511,0.9969556822400403,0.0016518540928626957,0.0013785390304261326,1.3924636670971038e-05,0.0009441112064328717,1773.9947768166833,1755.717491010787,1768.5251670638943,12.453894979449943,0.1884422110552764,0.9999860753633291,0.15082242963261078,0.0,0.0,6.889017134525943e-12,6.606102952253117,0.16603754804061094,0.16598248623751552,0.0,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
4,0.16593026760825236,0.16666666666666666,0.16666666666666666,6.6040246508084435,5.306666666666667,6.633333333333333,0.0,0.001110012626161401,0.9960144452081205,0.0019507034220025098,0.0020145028561782703,2.034851369877041e-05,0.0011144543450165125,1773.9947768166833,1755.717491010787,1768.425552410202,12.356298297352945,0.1884422110552764,0.9999796514863012,0.15083443270699357,0.0,0.0,8.409745122506251e-12,6.6014185504878,0.16592981114809857,0.1658647877006985,0.0,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
5,0.1658047762211202,0.16666666666666666,0.16666666666666666,6.599030093600583,5.306666666666667,6.633333333333333,0.0,0.0013078801726530314,0.9949044325819592,0.002302109161829602,0.0027655236736492364,2.7934582562113506e-05,0.0013145786970300685,1773.9947768166833,1755.717491010787,1768.3259639175646,12.259062014165714,0.1884422110552764,0.9999720654174379,0.15084851029862956,0.0,0.0,1.0281747675477959e-11,6.595965457185611,0.16580451227823212,0.16572777530617114,0.0,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
6,0.16565874099126754,0.16666666666666666,0.16666666666666666,6.593217891452448,5.306666666666667,6.633333333333333,0.0,0.0015394004752502047,0.9935965524093061,0.002714724660437788,0.0036518357009536332,3.688722930256196e-05,0.0015493214741108098,1773.9947768166833,1755.717491010787,1768.2267431790701,12.162579377219815,0.1884422110552764,0.9999631127706975,0.1508650147582862,0.0,0.0,1.2592149545298525e-11,6.589628548578222,0.16565904731895487,0.16556855649694027,0.0,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
7,0.16548906916655207,0.16666666666666666,0.16666666666666666,6.586464952828772,5.306666666666667,6.633333333333333,0.0,0.0018096739242211746,0.9920571519340559,0.003198398878851075,0.004697004695222181,4.744449187093114e-05,0.001824162973567744,1773.9947768166833,1755.717491010787,1768.128291467673,12.067310054328471,0.1884422110552764,0.9999525555081291,0.1508843561627874,0.0,0.0,1.5452167323459776e-11,6.582279296945529,0.1654905152292665,0.1653839019333048,8.881784197001252e-16,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
8,0.16529229372024043,0.16666666666666666,0.16666666666666666,6.578633290065569,5.306666666666667,6.633333333333333,0.0,0.002124334360237506,0.9902474780098347,0.0037642510168523872,0.005928388263579845,5.9882709733129763e-05,0.002145256016715054,1773.9947768166833,1755.717491010787,1768.031077832358,11.973788668826465,0.1884422110552764,0.9999401172902669,0.1509070108134747,0.0,0.0,1.9004325890747964e-11,6.573775625116814,0.16529571687100097,0.1651702418371059,8.881784197001252e-16,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
9,0.1650645607288294,0.16666666666666666,0.16666666666666666,6.56956951700741,5.306666666666667,6.633333333333333,0.0,0.0024895088292643613,0.9881231436495972,0.004424709981647298,0.007377624905068015,7.452146368755572e-05,0.0025194317583428424,1773.9947768166833,1755.717491010787,1767.9356478073676,11.88263379909511,0.1884422110552764,0.9999254785363124,0.15093353047813388,0.0,0.0,2.343239491331417e-11,6.563962389742821,0.16507116846696332,0.16492367813424175,0.0,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
