,ns,ni,nr,cs,ci,cr,transfer,T,S,I,R,D,tau,Ur,Ui,Us,mus,lami,P,lams,R1,R2,R3,C,N,Neff,walras,pid,pr_treat,pr_vacc,mortality,ctax,kappa,pir,beta,pidbar,theta,A,eps,pi1,pi2,pi3,C_dev,N_dev
75,0.13398410220378584,0.13009432659298287,0.13660420353793712,5.337087896727129,4.541844905925231,5.406753958320934,2.6562825365052882,0.0021733154768198157,0.7911636803621688,0.00615969107919273,0.20064986227305254,0.002026766285586389,0.00274698590287277,1769.3816389907354,1751.3552457759029,1768.6216942200306,16.95296689867877,0.14709157529357358,0.9979732337144136,0.12371694378338179,-9.376543985695207e-10,-1.322963960603829e-11,-4.453076796195887e-12,5.335350901422504,0.13421431089834368,0.13405404272575,-9.376543985695207e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19567574350414507,-0.19471413460993792
76,0.13405950469476227,0.1300779619209139,0.1365903082305703,5.340012270370955,4.542416300200591,5.407303986423812,2.6576588823739575,0.002089806334978822,0.7889903648853489,0.005937571136326484,0.20302134333854174,0.0020507206397832496,0.0026487095761714395,1769.4183990580916,1751.391723371615,1768.6906763984516,16.983867791530535,0.14707307252364635,0.9979492793602167,0.12369821456232773,-9.431442293816872e-10,-1.3109319185744539e-11,-4.5938253201427415e-12,5.337987268769084,0.1342747525416393,0.13412028311120452,-9.431442293816872e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.1952783011905902,-0.19435148475016428
77,0.1341344164547628,0.1300618406971442,0.13657661916529656,5.342910057756902,4.542979334750437,5.407845960135545,2.659014963546988,0.002007894962236165,0.7869005585503701,0.005718322029400562,0.20530730822602744,0.002073811194202297,0.0025516501931770307,1769.455017806453,1751.4280595298242,1768.7585440931243,17.013808570770838,0.14705484500933388,0.9979261888057978,0.12367978399226069,-9.485212615345517e-10,-1.2996492770867007e-11,-4.694328259446934e-12,5.340587424918737,0.13433436076536195,0.13418561366759338,-9.48520373356132e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.1948863178514466,-0.19399383540782822
78,0.13420863707972022,0.13004599510377443,0.13656316369143925,5.345774115127114,4.543532878928714,5.4083787914494525,2.6603480629324343,0.0019277140550546632,0.7848926635881339,0.005502425091314286,0.20750886220734666,0.0020960491132055213,0.002456022516814115,1769.4914976475432,1751.4642564965907,1768.825292888179,17.0427866190022,0.1470369291374334,0.9979039508867945,0.12366169007124324,-9.537983736152e-10,-1.2893519585333024e-11,-4.759831417899818e-12,5.3431458628788695,0.13439300969756493,0.13424989602826815,-9.537979295259902e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19450062368660248,-0.19364194181461036
79,0.1342819842532345,0.13003045344927408,0.136549965872119,5.348597996436523,4.5440759364708745,5.4089015217602885,2.6616557879244844,0.0018493770421611389,0.7829649495330793,0.005290307166413393,0.20962729586750264,0.002117447433005077,0.0023620176653680524,1769.527841330115,1751.5003168708984,1768.890922711785,17.07080292608905,0.14701935691500836,0.9978825525669949,0.12364396584883733,-9.589862237646685e-10,-1.2802287008284452e-11,-4.794969976629204e-12,5.34565771746432,0.13445058816034225,0.1343130079523953,-9.589866678538783e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.1941219521410572,-0.19329647103794645
80,0.13435429355319597,0.13001524032419137,0.1365370466157904,5.351375939664265,4.544607640259152,5.409413316814803,2.662936057610012,0.0017729791590471386,0.7811155724909181,0.0050823425327471,0.2116640641265718,0.0021380208497633513,0.002269803882405318,1769.5640518999878,1751.536243564132,1768.9554374853928,17.097861785247,0.14700215614544251,0.9978619791502367,0.12362663965965727,-9.640963583024131e-10,-1.2723516684687297e-11,-4.804184827733593e-12,5.348118740607133,0.1345069991017599,0.13437484270459893,-9.640963583024131e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19375094362706524,-0.19295800538944063
81,0.13442541809177755,0.13000037677709292,0.1365244238250024,5.3541028475440084,4.545127246367625,5.409913460969752,2.6641870882529872,0.0016985985783658716,0.779342593331871,0.004878855151281477,0.21362076600167942,0.002157785515168479,0.0021795274541636014,1769.6001326616574,1751.5720397610453,1769.0188447745904,17.123970492507205,0.14698535062736637,0.9978422144848316,0.12360973538154672,-9.691403235478901e-10,-1.2657985770658797e-11,-4.7910564404674005e-12,5.350525273184829,0.13456215894870932,0.13443530834712783,-9.691412117263098e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19338814977113128,-0.19262704630774408
82,0.1344952280132113,0.12998588050589058,0.13651211255827747,5.356774263632533,4.545634127554194,5.410401350918333,2.6654073774610607,0.0016262975743398327,0.7776439947535051,0.004680121170815663,0.2154991252349228,0.0021767588407567958,0.0020913137442221627,1769.636087141696,1751.6077088824422,1769.0811554451147,17.149139052351515,0.1469689603709818,0.9978232411592433,0.12359327271125281,-9.741172313226798e-10,-1.2606138355408802e-11,-4.7585269058458834e-12,5.352874214171863,0.13461599689901999,0.13449432696476746,-9.741185635903093e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19303403806454322,-0.1923040186058801
83,0.13456360987297378,0.12997176606014324,0.1365001252013666,5.359386344591287,4.546127766352257,5.410876489032154,2.6665956874035084,0.001556123701987435,0.7760176971791652,0.0044863716231716266,0.2173009718856868,0.0021949593119766344,0.0020052683175190017,1769.671919054099,1751.6432545497642,1769.1423833270662,17.173379891891187,0.1469530018267951,0.9978050406880233,0.12357726745123768,-9.790368515893988e-10,-1.2567780149908003e-11,-4.7096770927623766e-12,5.35516298784957,0.13466845416958131,0.13455183384096817,-9.790372956786086e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19268899680659746,-0.19198927498251206
84,0.13463046592083855,0.12995804505037448,0.1364884716445216,5.361935829499897,4.546607747899629,5.411338476451212,2.667751027412482,0.0014881109746079037,0.7744615734771778,0.004297795249481207,0.2190282249606079,0.002212406312733413,0.0019214781282518416,1769.7076322677021,1751.6786805517063,1769.2025448898712,17.19670758553471,0.14693748812228272,0.9977875936872665,0.12356173180205265,-9.838987402588373e-10,-1.2542328287068472e-11,-4.6466996916905146e-12,5.357389509736473,0.13471948321555338,0.1346077766018235,-9.838982961696274e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.1923533402407327,-0.1916831007066797
