,I,deltaV
0,0.002665214220345808,0.019230769230769232
1,0.0028075737305235803,0.019230769230769232
2,0.002956043430058643,0.019230769230769232
3,0.0031107924938143386,0.019230769230769232
4,0.0032719892343453538,0.019230769230769232
5,0.0034398007079399573,0.019230769230769232
6,0.0036143923034014417,0.019230769230769232
7,0.0037959273139523747,0.019230769230769232
8,0.00398456649272626,0.019230769230769232
9,0.004180467592394336,0.019230769230769232
10,0.004383784889560306,0.019230769230769232
11,0.004594668694642705,0.019230769230769232
12,0.004813264848052607,0.019230769230769232
13,0.005039714203563444,0.019230769230769232
14,0.0052741520998595744,0.019230769230769232
15,0.005516707821340066,0.019230769230769232
16,0.005767504049343923,0.019230769230769232
17,0.006026656305052306,0.019230769230769232
18,0.006294272385411298,0.019230769230769232
19,0.006570451793505477,0.019230769230769232
20,0.006855285164897218,0.019230769230769232
21,0.007148853691528914,0.019230769230769232
22,0.007451228544864484,0.019230769230769232
23,0.007762470300022481,0.019230769230769232
24,0.008082628362725006,0.019230769230769232
25,0.008411740400953953,0.019230769230769232
26,0.008749831783268814,0.019230769230769232
27,0.009096915025797183,0.019230769230769232
28,0.009452989249960271,0.019230769230769232
29,0.00981803965304043,0.019230769230769232
30,0.010192036993735573,0.019230769230769232
31,0.010574937094875747,0.019230769230769232
32,0.010966680365499939,0.019230769230769232
33,0.011367191344505725,0.019230769230769232
34,0.011776378268090361,0.019230769230769232
35,0.012194132663198971,0.019230769230769232
36,0.012620328969183536,0.019230769230769232
37,0.013054824189854514,0.019230769230769232
38,0.013497457578075741,0.019230769230769232
39,0.013948050355011963,0.019230769230769232
40,0.014406405466086644,0.019230769230769232
41,0.014872307375646427,0.019230769230769232
42,0.015345521902256359,0.019230769230769232
43,0.015825796096467927,0.019230769230769232
44,0.0163128581628093,0.019230769230769232
45,0.016806417427644767,0.019230769230769232
46,0.01730616435443722,0.019230769230769232
47,0.017811770607825433,0.019230769230769232
48,0.01832288916779565,0.019230769230769232
49,0.018839154495085546,0.019230769230769232
50,0.01936018274880866,0.019230769230769232
51,0.019885572057128674,0.019230769230769232
52,0.020414902841646352,0.019230769230769232
53,0.020947738195987976,0.019230769230769232
54,0.02148362431890339,0.019230769230769232
55,0.02202209100199471,0.019230769230769232
56,0.022562652172004486,0.019230769230769232
57,0.023104806487394824,0.019230769230769232
58,0.02364803798874794,0.019230769230769232
59,0.02419181680231442,0.019230769230769232
60,0.024735599895828998,0.019230769230769232
61,0.025278831885505733,0.019230769230769232
62,0.025820945892916475,0.019230769230769232
63,0.026361364450248354,0.019230769230769232
64,0.02689950045223006,0.019230769230769232
65,0.027434758152812738,0.019230769230769232
66,0.027966534204491002,0.019230769230769232
67,0.02849421873795337,0.019230769230769232
68,0.029017196479561375,0.019230769230769232
69,0.029534847903971973,0.019230769230769232
70,0.0300465504190415,0.019230769230769232
71,0.030551679579980978,0.019230769230769232
72,0.0310496103295732,0.019230769230769232
73,0.031539718261113445,0.019230769230769232
74,0.03202138090059732,0.019230769230769232
75,0.032493979004553405,0.019230769230769232
76,0.0329568978698047,0.019230769230769232
77,0.03340952865134281,0.019230769230769232
78,0.033851269684412474,0.019230769230769232
79,0.03428152780683276,0.019230769230769232
80,0.03469971967752451,0.019230769230769232
81,0.03510527308717305,0.019230769230769232
82,0.03549762825693021,0.019230769230769232
83,0.035876239121051444,0.019230769230769232
84,0.036240574589371743,0.019230769230769232
85,0.036590119785548936,0.019230769230769232
