,ns,ni,nr,cs,ci,cr,transfer,T,S,I,R,D,tau,Ur,Ui,Us,mus,lami,P,lams,R1,R2,R3,C,N,Neff,walras,pid,pr_treat,pr_vacc,mortality,ctax,kappa,pir,beta,pidbar,theta,A,eps,pi1,pi2,pi3
43,0.15329543435440007,0.16666666666666666,0.16666666666666666,6.101158287305123,5.306666666666667,6.633333333333333,0.0,0.008718296375123079,0.556860781514337,0.028808588844373054,0.4101873233448772,0.004143306296412902,0.015656150809210144,1773.9947768166833,1755.717491010787,1771.2970354280626,15.819493686524348,0.1884422110552764,0.9958566937035871,0.15277845480855812,0.0,0.0,2.1147623097128587e-09,6.271282594999896,0.15853020074204602,0.1575699144472336,8.881784197001252e-16,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
44,0.15422866336020472,0.16666666666666666,0.16666666666666666,6.138300801736147,5.306666666666667,6.633333333333333,0.0,0.007871217009427146,0.5481424851392139,0.026323545113351055,0.4212786300499608,0.004255339697474353,0.014359801005806111,1773.9947768166833,1755.717491010787,1771.5494084825662,16.053820532568253,0.1884422110552764,0.9957446603025256,0.1525957476873286,0.0,0.0,1.9569435238953048e-09,6.2988353147286045,0.15913964534118047,0.1582621938374021,-1.7763568394002505e-15,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
45,0.15515794951728107,0.16666666666666666,0.16666666666666666,6.175286390787786,5.306666666666667,6.633333333333333,0.0,0.007087471399959437,0.5402712681297868,0.02395782791203057,0.431413194918601,0.0043577090395818295,0.013118357051437442,1773.9947768166833,1755.717491010787,1771.783919356397,16.27041065196939,0.1884422110552764,0.9956422909604181,0.15242044304034413,0.0,0.0,1.7838190646823904e-09,6.325173542495426,0.1597225526178908,0.15892395835415646,8.881784197001252e-16,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
46,0.1560690711895895,0.16666666666666666,0.16666666666666666,6.211549033345661,5.306666666666667,6.633333333333333,0.0,0.006366874061783179,0.5331837967298273,0.021728366235089232,0.44063695866473274,0.004450878370350837,0.011941236963375642,1773.9947768166833,1755.717491010787,1772.0006795741076,16.469646905996832,0.1884422110552764,0.9955491216296491,0.1522548746378348,0.0,0.0,1.6023679327847873e-09,6.350094319802995,0.16027438741226668,0.15955010853776372,0.0,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
47,0.15695069118838975,0.16666666666666666,0.16666666666666666,6.246637509297912,5.306666666666667,6.633333333333333,0.0,0.00570787289694143,0.5268169226680441,0.019645320094337705,0.4490023796652421,0.004535377572376184,0.010834642266300267,1773.9947768166833,1755.717491010787,1772.2000722976456,16.65212584647237,0.1884422110552764,0.9954646224276238,0.1521005113042211,0.0,0.0,1.4179807605874117e-09,6.37346796675116,0.16079223010241994,0.16013738609927536,-8.881784197001252e-16,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
48,0.15779417825607034,0.16666666666666666,0.16666666666666666,6.280208294591599,5.306666666666667,6.633333333333333,0.0,0.00510794899872029,0.5211090497711027,0.017713346287925584,0.4565658279015621,0.004611776039409719,0.009802073099601627,1773.9947768166833,1755.717491010787,1772.382694547333,16.81860432939967,0.1884422110552764,0.9953882239605902,0.1519581151294186,0.0,0.0,1.2351487332917799e-09,6.395225526140846,0.1612745033220141,0.1606840584457499,-8.881784197001252e-16,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
49,0.15859334188085725,0.16666666666666666,0.16666666666666666,6.312015006858118,5.306666666666667,6.633333333333333,0.0,0.004563938679294614,0.5160011007723825,0.015932771730230368,0.46338546622241344,0.004680661274973874,0.008844823533250272,1773.9947768166833,1755.717491010787,1772.5493037735673,16.96995200134298,0.1884422110552764,0.9953193387250261,0.15182789845984207,0.0,0.0,1.0576671483075728e-09,6.415346859554351,0.1617207119778004,0.16118961958679273,-8.881784197001252e-16,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
50,0.15934411957560743,0.16666666666666666,0.16666666666666666,6.341895959109175,5.306666666666667,6.633333333333333,0.0,0.004072286376338953,0.5114371620930879,0.014300632514435394,0.46951958333855215,0.00474262205392477,0.007962437378763936,1773.9947768166833,1755.717491010787,1772.700770305887,17.1071103946023,0.1884422110552764,0.9952573779460753,0.1517096667910264,0.0,0.0,8.886409663677597e-10,6.433849864305418,0.1621312069541349,0.1616545192036537,-8.881784197001252e-16,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
51,0.16004424751319862,0.16666666666666666,0.16666666666666666,6.369761051025304,5.306666666666667,6.633333333333333,0.0,0.0036292385663482217,0.5073648757167489,0.012811561801827246,0.47502532685660975,0.004798235624814241,0.007153113548156512,1773.9947768166833,1755.717491010787,1772.8380364160214,17.231058772030643,0.1884422110552764,0.9952017643751857,0.15160294098267801,0.0,0.0,7.304642724026422e-10,6.450781046776049,0.16250697785845414,0.1620799257983932,0.0,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
52,0.1606929372319739,0.16666666666666666,0.16666666666666666,6.39557890183256,5.306666666666667,6.633333333333333,0.0,0.0032309888135620755,0.5037356371504007,0.011458526334131539,0.47995777815031326,0.0048480583651546805,0.0064140564519905045,1773.9947768166833,1755.717491010787,1772.962082135884,17.34278644589643,0.1884422110552764,0.9951519416348453,0.15150705674141626,0.0,0.0,5.848277417896952e-10,6.46620752120382,0.16284947653619186,0.16246752565838746,0.0,0.003888888888888889,0.0,0.0,0.010101010101010102,0,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055
